"Rank","AG","CC","EN","MI","MSE","Nabf","PSNR","Qabf","SCD","SD","SF","SSIM","VIF"
"36","2.653883195074411","0.6342966556549072","6.411049422858651","1.1302830000476574","0.08311322151411119","0.0006980691215087633","60.066523493606184","0.29279755916064826","1.3297861814498901","28.22984271832285","4.656355121121852","0.7751982205657548","0.7826016766796519"
"37","5.505634716939709","0.6161940097808838","7.407561746847774","1.0026806221216344","0.17283715909396558","0.04088147902324042","56.44495193808688","0.47251760821991884","1.7082873582839966","54.287056382008316","7.180344209051713","0.6765610582085066","0.7677337181279877"
"38","6.663364084301485","0.5142236351966858","6.918636990266745","2.2314507587881294","0.13285589106096415","0.048026539019424185","58.21352267683392","0.5184076879130499","1.0878044366836548","40.49054438485424","7.848825714250657","0.7073652801975128","0.598265464374642"
"39","4.6657483864787945","0.5627652406692505","6.862529622480906","1.423757218774907","0.1665149492967636","0.01651929316437363","57.08162067426726","0.5164965034570761","1.4893529415130615","44.08837822626208","6.326408498487503","0.7436481316884359","0.8898046865711918"
"39","5.686062173553909","0.5517600178718567","6.994932387266675","1.0416984954479693","0.11411621680093681","0.020964073926564332","58.70643119178255","0.5241149964542644","1.3221436738967896","41.65788973762047","7.134697675908447","0.7384128589783946","0.6816851763832873"
"41","3.808791737813281","0.5767565369606018","6.370707048503715","1.4426271817865555","0.11165168608649607","0.012797577954711878","58.92481346286778","0.33138565714121493","1.2625088691711426","32.947233216800946","5.658370716117501","0.7624446717641686","0.7047121869368141"
"42","4.190076232480008","0.47479674220085144","6.743087135882342","0.638572346643368","0.16256004322988452","0.0","57.21456033584169","0.5683850709804035","0.7542480826377869","44.53823593104324","5.845794787159597","0.74747319311224","1.0629415101507733"
"43","6.0263905242590905","0.5618078112602234","7.155784207197436","1.0029206987114","0.17989643194583646","0.06826244758579124","56.080492771960465","0.44359333447586374","1.3822691440582275","44.60794845762367","7.6757188912187635","0.6716381606235299","0.6511968974719102"
"44","4.791021973933759","0.5109752416610718","6.954569534673533","0.8089018711021202","0.16546680551351156","0.019644162527861483","57.07347843679321","0.4697405452751949","1.0965285301208496","43.046326723907825","6.445905218327479","0.7062557820350893","0.8280982260510282"
"45","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"45","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"45","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"45","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"45","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"45","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"45","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"45","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"45","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
