candidate,path,target_group,preset,AG,CC,EN,MI,MSE,Nabf,PSNR,Qabf,SCD,SD,SF,SSIM,VIF
38_C_N_night_g86_str22_ir36_06,results\candidates_round11_adaptive\38_C_N_night_g86_str22_ir36_06,DN_N,night_ir_saliency,0.009092307779737699,0.6027668545900478,6.912834464685778,2.4486046406803053,0.040399936537298384,0.038530338205076675,16.794333533851805,0.417433524644503,1.5376070750773594,0.1568852009311799,0.020499519968905096,0.648310821783799,0.6169270259661733
39_C_N_night_g86_str22_ir46_07,results\candidates_round11_adaptive\39_C_N_night_g86_str22_ir46_07,DN_N,night_ir_saliency,0.009110417747769946,0.603902694491244,6.912832361996382,2.440832429713091,0.0404282868301536,0.03946664437691691,16.754629770023392,0.4178374300720871,1.5360589653563774,0.1566675999952901,0.02053345630956962,0.6476433648056882,0.6180541474808723
40_C_N_night_g86_str22_ir54_08,results\candidates_round11_adaptive\40_C_N_night_g86_str22_ir54_08,DN_N,night_ir_saliency,0.009122146528855126,0.6042815084766977,6.912866782234537,2.4366590496855074,0.04046636909591935,0.04026398544390035,16.7282353393579,0.4180379295220939,1.5334901454911491,0.1565470839700391,0.02055491458477696,0.6471156110205958,0.6184267062414639
41_C_N_night_g92_str14_ir26_09,results\candidates_round11_adaptive\41_C_N_night_g92_str14_ir26_09,DN_N,night_ir_saliency,0.009052283876645629,0.6009302937663921,6.90904973809243,2.4580244751540197,0.0403745161802558,0.03769368923679795,16.848012463928125,0.4158216349540218,1.5367857918915797,0.1571415274213719,0.02046282335778288,0.6490018519182359,0.615100543563591
42_C_N_night_g92_str14_ir36_10,results\candidates_round11_adaptive\42_C_N_night_g92_str14_ir36_10,DN_N,night_ir_saliency,0.00907419805204676,0.6029575028851356,6.909415461144185,2.446807165539433,0.040376134375761194,0.03844137070199815,16.798087147767472,0.4165545506502992,1.5378475149703992,0.15683382244840746,0.02050416743035529,0.6483242962789791,0.6171177916522093
43_C_N_night_g92_str14_ir46_11,results\candidates_round11_adaptive\43_C_N_night_g92_str14_ir46_11,DN_N,night_ir_saliency,0.009091887492886794,0.6040158680748795,6.909636817575777,2.43943705387849,0.04040957097920479,0.03938376640159917,16.757653714429434,0.4169904403789069,1.5359754459268335,0.15662556165649044,0.020536623878530235,0.6476119786340703,0.6181675363067262
44_C_N_night_g92_str14_ir54_12,results\candidates_round11_adaptive\44_C_N_night_g92_str14_ir54_12,DN_N,night_ir_saliency,0.009103289955566007,0.6043384107836127,6.909839407048348,2.435640173664581,0.04045105569680492,0.04018873666282943,16.730878131220642,0.4172017465355576,1.5332024056053475,0.15651136484517847,0.02055686280703937,0.6470566541757635,0.6184842155902363
45_C_N_night_g92_str22_ir26_13,results\candidates_round11_adaptive\45_C_N_night_g92_str22_ir26_13,DN_N,night_ir_saliency,0.009052283876645629,0.6009302937663921,6.90904973809243,2.4580244751540197,0.0403745161802558,0.03769368923679795,16.848012463928125,0.4158216349540218,1.5367857918915797,0.1571415274213719,0.02046282335778288,0.6490018519182359,0.615100543563591
46_C_N_night_g92_str22_ir36_14,results\candidates_round11_adaptive\46_C_N_night_g92_str22_ir36_14,DN_N,night_ir_saliency,0.00907419805204676,0.6029575028851356,6.909415461144185,2.446807165539433,0.040376134375761194,0.03844137070199815,16.798087147767472,0.4165545506502992,1.5378475149703992,0.15683382244840746,0.02050416743035529,0.6483242962789791,0.6171177916522093
47_C_N_night_g92_str22_ir46_15,results\candidates_round11_adaptive\47_C_N_night_g92_str22_ir46_15,DN_N,night_ir_saliency,0.009091887492886794,0.6040158680748795,6.909636817575777,2.43943705387849,0.04040957097920479,0.03938376640159917,16.757653714429434,0.4169904403789069,1.5359754459268335,0.15662556165649044,0.020536623878530235,0.6476119786340703,0.6181675363067262
