candidate,path,PoolObjective,PoolPredInsertedRank,AG,CC,EN,MI,MSE,Nabf,PSNR,Qabf,SCD,SD,SF,SSIM,VIF
06_rankpoints_safe_qabf_balanced,results\candidates_round10\06_rankpoints_safe_qabf_balanced,71.47779363369735,23.53846153846154,0.02029044492550755,0.6175580279529173,7.038954169572237,3.3091541146242998,0.03827931552058867,0.05135147361164932,21.469935363419612,0.6699958395573401,1.6369869250055236,0.1672268111699371,0.045474118807104516,0.7088168081577106,0.6311058886251344
08_source_edge_vi042_ir008,results\candidates_round3\08_source_edge_vi042_ir008,72.90289160605639,24.615384615384617,0.021752365674543125,0.6307714623099836,7.016044769223014,2.6705517328012816,0.0366648284140073,0.09245004992611626,16.733088636589585,0.6357490756819325,1.7164366527818435,0.16536011306508894,0.048779183413884215,0.6873927381570621,0.6391581521691783
05_rankpoints_safe_qabf_rank,results\candidates_round10\05_rankpoints_safe_qabf_rank,76.2234340770541,23.384615384615383,0.020184059947809224,0.6179231939133435,7.039110100430052,3.309307577713214,0.0382794141331287,0.04944809140156834,21.462528351042845,0.6708638062400203,1.6365597928423197,0.1671100884515752,0.04523017701002638,0.7094402656920494,0.6314723596330717
37_mix33_std48,results\candidates_round2\37_mix33_std48,76.73043918394757,27.692307692307693,0.0199001992762249,0.6261489762440883,6.9549751740673855,2.6904114549718505,0.04570583167350701,0.09974903386006112,16.30435819826504,0.6061450794178952,1.7256698296185584,0.1835636427646042,0.04417262293085178,0.6594549126682743,0.6362237615903014
03_mix33_luma_gain_sd48,results\candidates_round3\03_mix33_luma_gain_sd48,76.73043918394757,27.692307692307693,0.0199001992762249,0.6261489762440883,6.9549751740673855,2.6904114549718505,0.04570583167350701,0.09974903386006112,16.30435819826504,0.6061450794178952,1.7256698296185584,0.1835636427646042,0.04417262293085178,0.6594549126682743,0.6362237615903014
09_gradmatch_sd48,results\candidates_round7\09_gradmatch_sd48,82.07739731333905,31.615384615384617,0.02089710516594751,0.5828941625038159,7.027440489887902,2.5446828108591273,0.0434287797499408,0.13463706955794366,17.25938185535126,0.5378549063718447,1.5635746819240937,0.1717326578594023,0.044368837005568255,0.6377754720949358,0.6077484965393763
04_r4_r7struct_w45,results\candidates_round8\04_r4_r7struct_w45,98.10252508684893,27.0,0.021914579965654882,0.6229537490528982,6.976668704774595,2.6892801181659824,0.03919506315467378,0.10158815242910899,16.97976570211438,0.626887571747585,1.681795858652053,0.1640595554985026,0.04851195623695959,0.6786296342008857,0.632997831380228
36_mix33_std46,results\candidates_round2\36_mix33_std46,98.70952278127909,28.384615384615383,0.019189127951219517,0.626779174720526,6.934000566426179,2.6903204227900233,0.04472257470792179,0.08867410428932197,16.4440891313839,0.6050074731790891,1.7052306505111934,0.17668162366395357,0.04252353179498805,0.665006715604054,0.6368116764134569
02_mix33_luma_gain_sd46,results\candidates_round3\02_mix33_luma_gain_sd46,98.70952278127909,28.384615384615383,0.019189127951219517,0.626779174720526,6.934000566426179,2.6903204227900233,0.04472257470792179,0.08867410428932197,16.4440891313839,0.6050074731790891,1.7052306505111934,0.17668162366395357,0.04252353179498805,0.665006715604054,0.6368116764134569
06_mix33_luma_gain_soft48,results\candidates_round3\06_mix33_luma_gain_soft48,98.7418883309189,26.153846153846153,0.018958217214031885,0.628485070243142,6.994766777831321,2.708596224603911,0.03961192157184605,0.07462285284293435,16.589088003506617,0.6202841356236447,1.7373960077492538,0.17458562985543283,0.04171181219085343,0.6818007778736853,0.6383221366540948
10_source_edge_avg_low30,results\candidates_round3\10_source_edge_avg_low30,99.1344165648434,24.153846153846153,0.02127528281742206,0.6334800928503992,7.003052091279708,2.6788094430619656,0.03577697338906908,0.0827666917885904,16.72193816513454,0.639817500627169,1.7185007253738669,0.16411832455665834,0.04757073572403859,0.6905811335290631,0.6403635939159197
18_deep_aux_30,results\candidates_round3\18_deep_aux_30,99.56802617637719,27.615384615384617,0.01877697659355979,0.6022781628921041,7.002583186862876,2.9124370331928775,0.04178294697676294,0.06700261024838333,17.30536937317109,0.6211655159150401,1.6693707264363897,0.17288597665166341,0.04246583410928192,0.6861103483906357,0.6190966063976805
07_r4_r7struct_detail_w38,results\candidates_round8\07_r4_r7struct_detail_w38,103.24437744016373,26.923076923076923,0.023654755815783496,0.623832500147971,6.981821304153628,2.62895160434182,0.038906033462544364,0.12316719719999901,16.93908029858421,0.6245408205575841,1.6784270675567263,0.1635439274131611,0.051989459967600536,0.672657006690579,0.6335113352705117
13_project_leader_struct,results\candidates_round7\13_project_leader_struct,105.03423447781532,25.76923076923077,0.02449511537348391,0.6130955796711122,6.991125902388973,2.6751866285566432,0.037537110308485645,0.13740042965578778,17.239626902533853,0.6277289355313906,1.6786109060014953,0.16332736467161485,0.05437179101556081,0.6794075024544551,0.6253822952555204
10_wave_sym4_sd46,results\candidates_round6\10_wave_sym4_sd46,109.28706764381647,26.076923076923077,0.02010822328188086,0.6320160100209808,7.025385627809155,2.6421241153915003,0.037490732072832524,0.10108719746111541,16.690991135028174,0.6123552024364471,1.7181070652397117,0.16562710309861808,0.044078074709296436,0.6811418865797341,0.6408567515232888
09_fixed_04_micro_edge_broad44_balanced,results\candidates_round10\09_fixed_04_micro_edge_broad44_balanced,114.03184140043236,23.615384615384617,0.020310884001114034,0.6306109624110575,7.034001105465313,2.6999519453364793,0.036005477422237475,0.06545059871108781,16.68216671531842,0.6489137077844271,1.7309905162429435,0.16447518709846723,0.04513670024374451,0.6991133372629842,0.6395598096421549
05_mix33_luma_gain_soft46,results\candidates_round3\05_mix33_luma_gain_soft46,114.52619864468996,26.307692307692307,0.018459363199610224,0.6287928191248207,6.97389387883305,2.7065590225295155,0.038981768447825665,0.06770119955512865,16.679549527824463,0.6182356941443617,1.720016848037332,0.1698287299243353,0.04056742860730653,0.6856448978826564,0.6386206887510266
10_r4_r7mix3_ag,results\candidates_round8\10_r4_r7mix3_ag,116.46226755205575,27.0,0.023304806050834476,0.6235995947917513,6.966647516668104,2.648756136802397,0.03841611954148218,0.11799471674146511,16.97575999275034,0.6262573455610583,1.6765437289446812,0.1627415963398513,0.05144581377022665,0.6750808215589934,0.6326501847365141
17_deep_aux_20,results\candidates_round3\17_deep_aux_20,118.64299356319417,27.076923076923077,0.018340848286145475,0.6136970819627157,6.988764057392792,2.836610682161183,0.0395107111225145,0.057895558515703806,17.13314034936727,0.6232646777424761,1.6849569484968874,0.16786742659025294,0.04106954510334035,0.6918320333765399,0.6262728867593821
09_source_edge_safe_qabf,results\candidates_round3\09_source_edge_safe_qabf,119.09602228228843,24.615384615384617,0.02092319600764782,0.631144314547096,7.0004204908555465,2.6819869164835763,0.03640278191330733,0.08054238489718847,16.769382671590513,0.6360248384937164,1.7077111721680405,0.1631793886102656,0.04678275277986389,0.6909986677509482,0.6395371205274303
35_mix33_std44,results\candidates_round2\35_mix33_std44,122.49306527917969,29.153846153846153,0.018458000063816066,0.6273597551256849,6.904760100017568,2.6884987755391676,0.043795974489541784,0.07825982107114927,16.571861174412863,0.6021202440543841,1.6798708820243886,0.16961626259870427,0.040833053172394614,0.670114532914213,0.6373453465483733
01_mix33_luma_gain_sd44,results\candidates_round3\01_mix33_luma_gain_sd44,122.49306527917969,29.153846153846153,0.018458000063816066,0.6273597551256849,6.904760100017568,2.6884987755391676,0.043795974489541784,0.07825982107114927,16.571861174412863,0.6021202440543841,1.6798708820243886,0.16961626259870427,0.040833053172394614,0.670114532914213,0.6373453465483733
07_source_edge_vi030_ir006,results\candidates_round3\07_source_edge_vi030_ir006,133.44920752821986,24.76923076923077,0.02042615280476629,0.631457309301563,6.998994248897468,2.6906120890250036,0.03637612745871827,0.07446603238162014,16.768356173792863,0.6357251027578948,1.7081915214897592,0.1630533174160988,0.045543133802098956,0.6923370397379321,0.6398437483413408
06_r4_r7struct_detail_w28,results\candidates_round8\06_r4_r7struct_detail_w28,135.490398271814,26.846153846153847,0.022559626308339898,0.6259666970383551,6.973125274345746,2.642331942157571,0.03809759675234716,0.10582591405999596,16.930487053805283,0.628389573225411,1.6772352878295378,0.1615021587699972,0.04960857718275482,0.6792884602822283,0.635360359119648
14_fixed_18_source_pick_s450_rank,results\candidates_round10\14_fixed_18_source_pick_s450_rank,135.5239595448323,25.076923076923077,0.02312662099958748,0.6178037063953253,6.979632975700441,2.701122183949889,0.03677191998952279,0.10727803657452266,17.174166397097693,0.6346845399307949,1.6829666556311988,0.16131777228206717,0.05178924328021394,0.6890020501068843,0.6290202470030724
16_fixed_18_source_pick_s450_rank,results\candidates_round11\16_fixed_18_source_pick_s450_rank,135.5239595448323,25.076923076923077,0.02312662099958748,0.6178037063953253,6.979632975700441,2.701122183949889,0.03677191998952279,0.10727803657452266,17.174166397097693,0.6346845399307949,1.6829666556311988,0.16131777228206717,0.05178924328021394,0.6890020501068843,0.6290202470030724
18_source_pick_s450,results\candidates_round9\18_source_pick_s450,140.01230836173292,25.46153846153846,0.023118541255513186,0.6177820927196199,6.974487921989414,2.705679933911664,0.036722822038466815,0.10856119643456193,17.170611963968398,0.6337356304609647,1.6812063145455958,0.16107977862640094,0.05195435981419319,0.6860244022582167,0.6289986111827194
11_fixed_02_micro_edge_balanced43_balanced,results\candidates_round10\11_fixed_02_micro_edge_balanced43_balanced,141.28740740274642,24.076923076923077,0.019450299201473113,0.630627752980217,7.026503077079903,2.737022416503414,0.03568625107898267,0.0615758916903888,17.122635940277643,0.6398567586175857,1.7250032097665862,0.1643839270998073,0.043041712486945556,0.7016976817801435,0.638855188708716
13_fixed_02_micro_edge_balanced43_balanced,results\candidates_round11\13_fixed_02_micro_edge_balanced43_balanced,141.28740740274642,24.076923076923077,0.019450299201473113,0.630627752980217,7.026503077079903,2.737022416503414,0.03568625107898267,0.0615758916903888,17.122635940277643,0.6398567586175857,1.7250032097665862,0.1643839270998073,0.043041712486945556,0.7016976817801435,0.638855188708716
